sentence1,sentence2,score
"These tariffs, and any additional tariffs imposed by the U.S., China or other countries or any additional retaliatory measures by any of these countries, could increase our costs, reduce our sales and earnings or otherwise have an adverse effect on our operations.","While the U.S. and China signed what is being known as the Phase One Deal in January 2020, which included the suspension and rollback of tariffs, any new tariffs imposed by the U.S., China or other countries or any additional retaliatory measures by any of these countries, could increase our costs, reduce our sales and earnings or otherwise have an adverse effect on our operations.",0
The U.S. President has also indicated a readiness to further expand the scope of the tariffs on Chinese goods if negotiations are not successful; such action could subject an even wider range of Juniper products to tariff on importation into the U.S.,"Similarly, in July 2019, the U.S. President reiterated his readiness to impose tariffs on all remaining Chinese imports (List 4 tariff proceeding) if U.S.-China negotiations remained unresolved.",0
"Changes in the operating environment, including changes in or interpretation of tax law and currency/repatriation controls, could impact the determination of our income tax liabilities for the year.","The final determination of tax audits or changes in the operating environment, including changes in or interpretation of tax law and currency/repatriation controls, could impact the determination of our income tax liabilities for the year and have an adverse effect on our financial statements.",0
These investments are based on the FERC’s regulatory framework and a rate of return on common equity that is currently higher than that allowed by our state commissions.,These investments are based on the FERC’s regulatory framework and an allowed ROE that is currently higher than that allowed by our state commissions.,1
"Also, a breach of data security could expose us to customer litigation and costs related to the reporting and handling of such a breach.","Also, a breach of data security or failure to comply with rigorous consumer privacy requirements could expose us to customer litigation, regulatory actions and costs related to the reporting and handling of such a violation or breach.",0
"For example, compliance with the financial covenants would be more difficult to achieve if we were to experience substantially lower revenues, a substantial increase in client defaults or sizable asset impairment charges.","For example, compliance with the financial covenant would be more difficult to achieve if we were to experience increased indebtedness or substantially lower revenues, including as a result of economic downturns, client losses or a substantial increase in client defaults.",0
"However, there is no guarantee that we will avoid enforcement actions by governmental bodies.","However, there is no guarantee that we will avoid enforcement actions by governmental bodies or civil actions based on this growing body of regulations.",0
"There are limits on our ability to achieve fuel economy improvements over a given time frame, however.","There are limits on our ability to achieve fuel economy improvements over a given time frame, however, primarily relating to the cost and effectiveness of available technologies, lack of sufficient consumer acceptance of new technologies and of changes in vehicle mix, lack of willingness of consumers to absorb the additional costs of new technologies, the appropriateness (or lack thereof) of certain technologies for use in particular vehicles, the widespread availability (or lack thereof) of supporting infrastructure for new technologies, and the human, engineering, and financial resources necessary to deploy new technologies across a wide range of products and powertrains in a short time.",0
"Additionally, a trend of consolidation in the data storage industry could materially adversely affect our business and financial results and our future growth prospects.","Additionally, if there is consolidation among our customer base, our customers may be able to command increased leverage in negotiating prices and other terms of sale, which could adversely affect our profitability.",0
"In anticipation of the U.K. leaving the EU as expected in 2019, effective January 1, 2019, we have redomiciled our European headquarters to France.","In anticipation of Brexit, we redomiciled the headquarters of our European carriers to France effective January 1, 2019.",1
We are engaged in a multi-year implementation of a cloud-based enterprise resource planning (ERP) system which is planned to be deployed in phases beginning in 2019.,We have completed the first phase of a multi-year implementation of an enterprise resource planning (ERP) system which replaced our previous financial accounting system.,0
"For example, the state of California is one of 10 states in the United States that have a bottle deposit return system in effect, which requires a deposit charged to consumers to incentivize the return of the beverage container.","In addition, 10 states in the United States as well as a growing number of European countries have a bottle deposit return system in effect, which requires a deposit charged to consumers to incentivize the return of the beverage container.",1
"Our business is subject to numerous laws, regulations and policies.","Our business is subject to numerous laws, regulations and policies around the world.",1
The California Utilities may be materially adversely affected if these additional costs for projects are not recoverable in rates.,Our regulated utilities may be materially adversely affected if these additional costs for projects are not recoverable in rates.,1
"In addition, if more restrictive privacy laws, rules or industry security requirements are adopted in the future on the Federal or State level, or by a specific industry body, they could have an adverse impact on us through increased costs or restrictions on business processes.","In addition, if more restrictive privacy laws, rules or industry security requirements are adopted in the future on the federal or state level, or by a specific industry body, they could have an adverse impact on FIS through increased costs or restrictions on business processes.",1
"In addition, recent trends toward greater consumer engagement in health care require new and enhanced technologies, including more sophisticated applications for mobile devices.","In addition, connectivity among technologies is becoming increasingly important and recent trends toward greater consumer engagement in health care require new and enhanced technologies, including more sophisticated applications for mobile devices.",0
"Many of our competitors are companies that are larger than we are, with greater financial and operational resources than we have.",We compete with many larger companies that have greater financial and operational resources than we have.,1
"Changes in laws, regulations and policies and the related interpretations and enforcement practices may alter the landscape in which we do business and may significantly affect our cost of doing business.","Changes in and/or failure to comply with other laws and regulations specific to the environments in which we operate could materially adversely affect our reputation, market position, or our business and financial performance.",0
The completion of the U.K.’s exit from the EU could adversely affect the value of our euro- and pound-denominated assets and obligations.,The completion of Brexit could also adversely affect the value of our euro- and pound-denominated assets and obligations.,1
"The Program expired at the end of 2014 but was reauthorized, with some adjustments to its provisions, in January 2015 for six years through December 31, 2020.","The Program was most recently reauthorized, with some adjustments to its provisions, in December 2019 for seven years through December 31, 2027.",1
"In addition, we acquired worldwide rights to our product candidates and were not involved in their development prior to such acquisitions.","In addition, we acquired worldwide rights to our gene therapy product candidates and were not involved in their development prior to such acquisitions.",1
Financial services firms over the last several years have been operating in an onerous regulatory environment.,"Over the last several years, financial services firms have been operating in an evolving regulatory environment.",0
"Certain of the suppliers and service providers are located in or dependent upon countries, such as Russia, in which deteriorating economic conditions or international sanctions could restrict the ability of such suppliers to continue to supply fuel or provide such services.","Certain of the suppliers and service providers are located in or dependent upon countries, such as Russia, in which international sanctions or tariffs could restrict the ability of such suppliers to continue to supply fuel or provide such services at acceptable prices or at all.",0
"Since the beginning of 2014, through December 31, 2018, we have completed 21 acquisitions.","Since the beginning of 2015, through December 31, 2019, we have completed 18 acquisitions.",1
The implementation of these regulations may limit the sourcing and availability of some of these materials.,Environmental regulations could limit our ability to procure or use certain chemicals or materials in our operations or products.,1
We are dependent on information technology systems and infrastructure.,"We are dependent on information technology systems and infrastructure, including reliance on third-party vendors and third-party software.",0
"Furthermore, our competitors may succeed in providing a market for the trading of index-based or volatility products that are economically similar to those that we offer.","Furthermore, our competitors may succeed in developing, offering and providing a market for the trading of index-based or volatility products that are economically similar to those that we offer and they may become successful and take away volume from our products.",0
"Entering into such new businesses, as with any new business, subjects us to numerous additional regulations in the jurisdictions in which these businesses operate.",Entering into these businesses subjects us to numerous additional regulations in the jurisdictions in which these businesses operate.,1
We also expect to continue to make strategic acquisitions an element of our growth strategy.,We expect to continue to make strategic acquisitions and enter into strategic relationships as an element of our growth strategy.,1
"As part of our logistics services, we operate leased warehouse facilities.","As part of our logistics services, we operate owned or leased warehouse facilities.",1
"Litigation also is inherently uncertain, and we could experience significant adverse results.","Litigation also is inherently uncertain, and we could experience significant adverse results, which could have an adverse effect on our financial condition or results of operations.",0
The continuing growth of e-commerce increases our exposure to these risks.,The continuing growth of online purchases for delivery increases our exposure to these risks.,1
The risk factors generally have been separated into two groups: risks related to AbbVie's business and risks related to AbbVie's common stock.,"The risk factors generally have been separated into three groups: risks related to AbbVie's business, risks related to AbbVie's proposed acquisition of Allergan (the ""Acquisition"") and the combined company upon completion of the Acquisition, and risks related to AbbVie's common stock.",0
Prices for these commodities may fluctuate substantially over relatively short periods of time and expose Consumers to price risk.,Prices for these commodities may fluctuate substantially over relatively short periods of time and expose CMS Energy and Consumers to price risk.,1
The operations and financial results of the Company could be adversely impacted as a result of climate change or related additional legislation or regulation in the future.,The operations and financial results of the Company could be adversely impacted as a result of climate change.,0
"In Japan, the Company's sales results are dependent upon its relationship with sales associates and other distribution partners, including its alliance partner, Japan Post, which in recent periods has accounted for approximately 25% of Aflac Japan's third sector sales.","JPC and JPI are important distribution and alliance partners of the Company, which in 2018 collectively accounted for approximately 25% of Aflac Japan’s third sector sales.",1
"DTE Energy generated production tax credits from coke production, renewable gas recovery, reduced emission fuel, and gas production operations, and for the Registrants, renewable energy generation.","The Registrants generated production tax credits from renewable energy generation and DTE Energy generated production tax credits from renewable gas recovery, reduced emission fuel, and gas production operations.",1
"Breaches of security, vandalism and other malicious acts, which are increasingly negatively impacting companies, could result in unauthorized access to proprietary or customer information or data, including credit card transaction data, or cause interruptions to our services and products.","Breaches of data security, website defacements and other malicious acts, which are increasingly negatively impacting companies, could result in unauthorized access to proprietary or customer information or data, including credit card transaction data, or cause interruptions to our services and products.",1
"Because our financial results in certain countries are translated from local currency into U.S. dollars upon consolidation, our results of operations have been and may continue to be affected by foreign exchange rate fluctuations.","Dollars upon consolidation, our results of operations have been and may continue to be affected by foreign exchange rate fluctuations.",1
Applied also has in place a $1.5 billion committed revolving credit agreement.,"Applied also has in place a $1.5 billion revolving credit facility, and a $2.0 billion term loan facility to finance in part its planned acquisition of Kokusai Electric.",0
The complexity of our products requires highly trained customer service and technical support personnel to assist customers with product installation and deployment.,"The complexity of our products requires highly trained personnel for research and development and to assist customers with product installation, deployment, maintenance and support.",1
"Subsequently, the Bankruptcy Court issued a Confirmation Order confirming Grace's plan or reorganization (as filed and amended from time to time, the ""Plan"") and the District Court issued a similar Confirmation Order.","Subsequently, the Bankruptcy Court (in January and February 2011) and the United States District Court for the District of Delaware (in January and June 2012) entered orders confirming Grace’s plan of reorganization in its entirety.",1
All countries except Argentina and Australia are covered by the aluminum tariff.,"Currently, all countries except Argentina, Australia, Canada, and Mexico are covered by the aluminum tariff, and all countries except Argentina, Australia, Brazil, Canada, Mexico, and South Korea are covered by the steel tariff.",0
"However, a changing climate may aggravate natural disasters that affect our worldwide business operations thereby compelling us to build additional resiliency in order to mitigate impact.",Climate change serves as a risk multiplier increasing both the frequency and severity of natural disasters that may affect our worldwide business operations.,0
"Even if we are successful in acquiring businesses, we may experience risks in integrating these businesses into our existing business.","Even if we are successful in acquiring businesses, the businesses we acquire may not be able to achieve the revenue, profitability or growth we anticipate, or we may experience challenges and risks in integrating these businesses into our existing business.",0
"Such investments may be in related areas, such as technical sales support.","Such investments may be in related areas, such as technical sales support, and may include increases in employee headcount.",0
We have not encountered any meaningful incidents but there can be no assurance that we will not experience a cyber security incident that may materially impact our consolidated financial statements.,There can be no assurance that we will not experience a cyber security incident that may materially impact our consolidated financial statements.,0
"We may have difficulty developing, manufacturing and marketing the products of a newly acquired company in a way that enhances the performance of our businesses or product lines to realize the value from expected synergies.","We may have difficulty developing, manufacturing and marketing the products of a newly acquired company in a way that enhances performance and expands the markets of the newly acquired company.",1
We could experience a breach of the confidentiality of the information we hold or of the security of our computer systems.,We have in the past experienced and in the future could experience an unauthorized access into our information systems.,0
"In 2018 and 2017, we repurchased $823 million and $200 million of common stock, respectively.","In 2019 and 2018, we repurchased $500 million and $823 million of common stock, respectively.",1
We consumed approximately 472 million gallons of diesel fuel in 2018.,We consumed approximately 451 million gallons of diesel fuel in 2019.,1
"Although these attacks and breaches have not had a direct, material impact on us, we believe these incidents are likely to continue and we are unable to predict the direct or indirect impact of future attacks or breaches to our business.","Such attacks and breaches have resulted, and may continue to result in, fraudulent activity and ultimately, financial losses to Visa’s clients, and it is difficult to predict the direct or indirect impact of future attacks or breaches to our business.",0
"We also have outsourced elements of our operations to third parties, and, as a result, we manage a number of third-party vendors who may or could have access to our confidential information.","We also have outsourced elements of our operations to third parties, and, as a result, we manage a number of third-party suppliers who may or could have access to our confidential information, including, but not limited to, intellectual property, proprietary business information and personal information of patients, employees and customers (collectively “Confidential Information”).",0
"Our ability to meet our expenses and debt obligations will depend on our future performance, which will be affected by financial, business, economic, regulatory, and other factors.","Our ability to comply with these covenants is dependent on our future performance, which will be subject to many factors, some of which are beyond our control, including prevailing economic conditions.",0
There is a possibility that such claims may have an adverse impact on our results of operations and cash flows that is greater than we anticipate and/or negatively affect our reputation.,Such claims may also negatively affect our reputation.,0
"Any future limitations on the emission of greenhouse gases, other environmental legislation or customer sustainability requirements could increase our future capital expenditures and have an adverse impact on our financial condition, results of operations and liquidity.","Costs associated with future climate change concerns or environmental laws and regulations and sustainability requirements could have a material adverse effect on our financial condition, results of operations, liquidity and cash flows.",0
"We expect this to continue in fiscal 2019, which could have a material and adverse effect on our results of operations.","We expect these trends to continue in fiscal 2020, which could have an adverse effect on our results of operations.",0
"In particular, the economic uncertainties relating to European sovereign and other debt obligations may cause the value of the Euro to fluctuate relative to the U.S. Dollar.","In particular, the economic uncertainties relating to Brexit and European sovereign and other debt obligations may cause the value of the British Pound and Euro to fluctuate relative to the U.S. Dollar.",0
"In March 2017, the United Kingdom notified the European Council of its intent to withdraw from the European Union.","On January 31, 2020, the United Kingdom withdrew from the European Union and immediately entered an 11-month transition period.",0
"If the rate of merchant acceptance growth slows or reverses itself, our business could suffer.","If we are unable to continue growing merchant acceptance or merchants decide to no longer accept American Express cards, our business could suffer.",0
We have entered into interest rate swaps for $250 million of our floating-rate term loans to manage our interest rate risk.,"However, at December 31, 2019, we also have interest rate swaps for $200 million of our floating-rate term loans, which expire in September 2020, to manage our interest rate risk.",1
"However, the U.S. has announced its intention to withdraw from the Paris Agreement.","However, the U.S. has begun the process to withdraw from the Paris Agreement.",0
We may not be able to discover or determine the extent of any unauthorized use of our proprietary rights.,We are not always able to discover or determine the extent of any unauthorized use of our proprietary rights.,1
"As a result, we may be unable to acquire, or may pay a premium purchase price for, data centers, international and adjacent businesses that support our strategic growth plan.","As a result, we may be unable to acquire, invest in, or may pay a premium purchase price for, data centers, technology and higher-growth markets and adjacent businesses that support our strategic growth plan, or we may fail to manage the growth of any businesses we acquire or invest in, which could have an adverse effect on our results of operations and financial condition.",0
"If a municipality or other government subdivision or a citizen group seeks to acquire our assets through eminent domain or such other process, either directly or indirectly as a result of a citizen petition, we may resist the acquisition.","A municipality or other government subdivision or a citizen group may seek to acquire our assets through eminent domain or such other process, either directly or indirectly as a result of a citizen petition.",1
"If the Company receives FAA authorization and commences ETOPS, the Company will be subject to additional, ongoing, ETOPS-specific regulatory and procedural requirements, which could add operational and compliance risks to the Company’s business, including costs associated therewith.","The Company is subject to additional, ongoing, ETOPS-specific regulatory and procedural requirements, which present operational and compliance risks to the Company’s business, including costs associated therewith.",0
We have incurred substantial net losses since our inception and we may continue to incur additional losses in the future.,"We incurred substantial net losses from our inception through the year ended December 31, 2018, and we may not be able to sustain profitability and may incur additional losses in the future.",0
"Following the completion of the transaction, we will have international operations that could expose the company to a number of additional risks.",We have international operations that could expose us to a number of additional risks.,0
"For example, there are growing concerns regarding trade relations between the United States and China, as both countries recently indicated their intention to impose significant tariffs on the importation of certain product categories.","For example, concerns regarding trade relations between the United States and China have escalated during fiscal 2019 and discussions have continued through the date of this report, as both countries imposed significant tariffs on the importation of certain product categories.",0
We may have a limited number of suppliers for certain of our products.,We have a limited number of suppliers and distributors for certain of our products and services.,0
"We also have significant financial obligations relating to final capping, closure, post-closure and environmental remediation at our existing landfills.","We have significant financial obligations relating to final capping, closure, post-closure and environmental remediation at our existing landfills and we establish accruals for these estimated costs.",1
NEP's inability to effectively consummate future acquisitions could have a material adverse effect on NEP's ability to grow its business and make cash distributions to its unitholders.,"In addition, NEP's issuance of additional common units, securities convertible into NEP common units or other securities in connection with acquisitions could cause significant common unitholder dilution and reduce cash distributions to its common unitholders, including NEE, if the acquisitions are not sufficiently accretive.",0
"As a result, our failure to maintain high quality support services would have a material adverse effect on our business, financial condition and results of operations.","Our failure to maintain high-quality support services would have a material adverse effect on our business, financial condition and results of operations and may subject us to litigation, reputational damage, loss of customers and additional costs.",0
"The favorable effects of changes in foreign currency exchange rates has increased revenues by approximately 2 percentage points in the year ended October 31, 2018.","The unfavorable effects of changes in foreign currency exchange rates have decreased revenues by approximately 2 percentage points in the year ended October 31, 2019.",0
This may increase the number of transactions that consumers abandon if we are unable to ensure a frictionless authentication experience.,"Other regulations, such as PSD2’s strong authentication requirement, could increase the number of transactions that consumers abandon if we are unable to secure a frictionless authentication experience under the new standards.",0
"Following a national referendum in June 2016, the United Kingdom formally notified the European Council on March 29, 2017 of its intention to withdraw from the European Union (“EU”) (commonly referred to as “Brexit”).","Following a national referendum and enactment of legislation by the government of the United Kingdom, the United Kingdom formally withdrew from the European Union on January 31, 2020 and entered into a transition period during which it will continue its ongoing and complex negotiations with the European Union relating to the future trading relationship between the parties.",0
"The recommendations of the CPUC and the response by the Governor and legislature to those recommendations could materially affect PG&E Corporation’s and the Utility’s financial condition, results of operations, liquidity, and cash flows.","Further, the proposals of AB 1941 could have a material effect on PG&E Corporation’s and the Utility’s financial condition, results of operations, liquidity, and cash flows.",1
"In addition, our cable networks, broadcast television, filmed entertainment and Sky businesses depend on the abilities and expertise of on-air and creative talent.","In addition, NBCUniversal and Sky depend on the abilities and expertise of on-air and creative talent.",1
"In such instances, a prolonged interruption, material reduction or cessation of service of such a pipeline or railway, whether due to private party or governmental action or other reason, could materially and adversely affect the operations, profitability and cash flows of the impacted refinery.","A prolonged interruption, material reduction or cessation of service of such a pipeline or railway, whether due to private party or governmental action or other reason, or any other prolonged disruption of the ability of the trucks, pipelines, railways or vessels to transport crude oil or refined products to or from one or more of our refineries, could have a material adverse effect on our business, financial condition, results of operations and cash flows.",0
We expect the premiums we pay for our insurance coverage to significantly increase as a result of the Greater Lawrence Incident and market conditions.,Our liability insurance coverage did not provide protection against all significant losses as a result of the Greater Lawrence Incident and may not provide protection against all significant losses in the future.,0
"While we own certain of our IBX data centers, others are leased under long-term arrangements with lease terms expiring at various dates through 2065.","While we own certain of our IBX data centers, others are leased under long-term arrangements.",1
Success in making further legislative changes to the Dodd-Frank Act remains uncertain due to the potentially divergent agendas of the House and Senate.,Further legislative changes to the Dodd-Frank Act remain uncertain due to the potentially divergent agendas of the House and Senate and upcoming elections.,1
The frequency and severity of wildfire losses have been elevated in more recent years.,"The frequency and severity of wildfire losses have been elevated in more recent years, due in part to record droughts in California that some climate studies suggest are likely to increase over time.",0
Loss costs have also increased over that period of time.,"However, loss costs have also increased and the duration and magnitude of the improving pricing environment remains uncertain.",0
"We are also evaluating the potential impact of the Proposed Rule, and any related regulatory, industry or company reactions, all or any of which could have a material adverse effect on our results of operations, financial position, or cash flows.","Whether, and to what extent, CMS finalizes the Proposed Rule, and any related regulatory, industry or company reactions, could have a material adverse effect on our results of operations, financial position, or cash flows.",1
"We believe that our future success depends in substantial part on our ability to recruit, hire, motivate, develop, and retain talented and highly-skilled personnel for all areas of our organization.","We believe that our future success depends in substantial part on our ability to recruit, hire, motivate, develop, and retain talented and highly-skilled personnel for all areas of our organization, including our CEO, the other members of our senior leadership team and highly skilled employees in technical, marketing and staff positions.",0
"In order to mitigate commodity price volatility and increase the predictability of cash flows related to the marketing of our crude oil and natural gas, we, from time to time, enter into crude oil and natural gas hedging arrangements with respect to a portion of our expected production.","In order to mitigate commodity price volatility and increase the predictability of cash flows related to the marketing of our crude oil, NGLs, and natural gas, we, from time to time, enter into crude oil, NGLS, and natural gas hedging arrangements with respect to a portion of our expected production.",1
The concentration of premium volume in a reduced number of major competitors could significantly increase the level of competition in a manner that is not favorable to us.,The concentration of insurance business in a reduced number of major competitors could significantly increase the level of competition in a manner that is not favorable to us.,1
"Revenue from sales outside of the United States and Other Americas accounted for 79%, 80%, and 79% of total revenue for fiscal years 2018, 2017, and 2016, respectively.","Revenue from sales outside of the United States accounted for 87% of total revenue for each of fiscal years 2019, 2018, and 2017.",1
"A change in these policies could adversely affect our financial condition and results of operations, and the market price of our securities.","A change in the approach to any of these items could adversely affect our financial condition and results of operations, and the market price of our securities.",1
"The long-term effects of these and other conditions on the prices of crude oil, natural gas, NGL and refined products are uncertain.","The long-term effects of these and other conditions on the prices of oil, natural gas, NGL and refined products are uncertain, and there can be no assurance that the demand or pricing for Occidental’s products will follow historic patterns or recover meaningfully in the near term.",0
"Competition for such personnel in our industry is intense, especially for personnel with augmented and virtual reality and analytics expertise as there are comparatively fewer persons with those skills.","The technical personnel required to develop our products and solutions are in high demand, particularly technical personnel with augmented and virtual reality and analytics expertise as there are comparatively fewer persons with those skills.",1
"For example, our smartphone and other device suppliers often rely on one vendor for the manufacture and supply of critical components, such as chipsets, used in their devices.","For example, our smartphone and other device suppliers often rely on one vendor for the manufacture and supply of critical components, such as chipsets, used in their devices, and there are a limited number of companies capable of supplying the network infrastructure equipment on which we depend.",0
"In addition, all of our debt under the senior secured credit facility, which includes $7.6 billion in term loans and a revolving loan facility of $600 million, bears interest at variable rates.","All of our debt under the senior secured credit facility, which includes $7.5 billion in term loans and a revolving loan facility of $760 million, bears interest at variable rates primarily based on the London interbank offered rate (LIBOR) for deposits of U.S. dollars.",1
Our products use both petroleum-derived and bio-based materials as part of a product renewal strategy.,Our raw materials include bio-based materials as part of a product renewal strategy.,1
Sales of products manufactured by Cisco and HP Inc. represented approximately 25% of our 2018 consolidated Net sales.,Sales of products manufactured by Cisco and Dell EMC represented approximately 25% of our 2019 consolidated Net sales.,1
"Additionally, any costs found to be misclassified may be subject to repayment.","Additionally, any costs found to be misclassified may be subject to repayment and from time to time we have had substantial disagreements with government auditors regarding the allowability of costs incurred by us under government contracts, which further delays payments even if we are correct in our positions.",0
"Our customers routinely use computers, tablets, smartphones and other mobile devices to shop online, read product reviews, and compare prices, products, and delivery options, regardless of whether they shop in-store or online.","Our customers routinely use a variety of electronic devices and platforms to shop online, read product reviews, and compare prices, products, and delivery options, regardless of where or how they shop.",1
"In addition, the failure or exit from the insurance market of one or more insurance companies may increase the costs to renew or replace our insurance policies or increase the cost of insuring properties.","In addition, the failure, or exit or partial exit from an insurance market, of one or more insurance companies may affect our ability to obtain insurance coverage in the amounts that we seek, or at all, or increase the costs to renew or replace our insurance policies, or cause us to self-insure a portion of the risk, or increase the cost of insuring properties.",0
"Acts of terrorism, bioterrorism, violence or war could also affect the markets in which we operate, our business operations and strategic plans.","Acts of terrorism, bioterrorism, violence or war, or public health issues such as the outbreak of a contagious disease like the 2019-Novel Coronavirus (COVID-19) could also affect the markets in which we operate, our business operations and strategic plans.",0
"Additionally, global political events, including the United Kingdom’s 2016 vote in favor of exiting the European Union, or “Brexit,” and similar geopolitical developments, have caused global economic uncertainty, which could amplify the volatility of currency fluctuations.","Additionally, global political events, including the United Kingdom’s 2016 vote in favor of exiting the European Union, or “Brexit,” and similar geopolitical developments, fluctuating commodity prices and trade tariff developments, have caused global economic uncertainty and uncertainty about the interest rate environment, which could amplify the volatility of currency fluctuations.",0
Our success depends in part on the efforts and abilities of our management team and key employees.,"Our success depends in part on the efforts and abilities of our management team and key employees, and the effective implementation of processes and technology to increase employee engagement, productivity, and efficiency.",0
A privacy or IT security breach could have a material adverse effect on our business.,"A cyberattack, unauthorized intrusion, malicious software infiltration, network disruption or outage, corruption of data, or theft of personal or other sensitive information, could have a material adverse effect on our business operations or that of our clients, result in liability or regulatory sanction, or cause harm to our business and reputation and result in a loss in confidence in our ability to serve clients all of which could have a material adverse effect on our business.",0
"In 2017, the Federal EPA issued a proposal to repeal the Clean Power Plan, and an advance notice of proposed rulemaking seeking information that should be considered in the development of new emission guidelines.","The new guidelines were finalized in 2019, and the Clean Power Plan was repealed.",0
"For example, changes in U.S. policy regarding international trade, including import and export regulation and international trade agreements, could also negatively impact the Company’s business.","In recent years, changes in U.S. policy regarding international trade, including import and export regulation and international trade agreements, have negatively impacted the Company’s business.",0
"During the fourth quarter of fiscal 2018, we identified our Consumer Packaging reporting unit as having a fair value that exceeded its carrying value by less than 10%.","In fiscal 2019, we identified our Consumer Packaging and Victory Packaging reporting units as having fair values that exceeded their carrying values by less than 10%.",1
"As new devices and platforms are continually being released, it is difficult to predict the challenges we may encounter in adapting our products and services and developing competitive new products and services.",It is hard to predict the challenges we may encounter in adapting our products and services and developing competitive new products and services.,1
"Should any of the above events occur, we could be subject to significant claims for liability from our customers and regulatory actions from governmental agencies.","Should any of the above events occur, or be perceived to occur, we could be subject to significant claims for liability from our customers and others and regulatory investigations and actions from governmental agencies, and we could be required to expend significant capital and other resources to remediate and otherwise address any data security incident or breach, including to notify individuals, entities, or regulatory bodies and to implement measures in an effort to prevent further breaches or incidents.",0
"Dividends are authorized and determined by the Company's board of directors in its sole discretion, and the repurchase of shares pursuant to the Company's stock repurchase program are made from time to time based on management's discretion.",Dividends are authorized and determined by the Company's board of directors in its sole discretion.,0
"For example, during parts of January 2014, severe winter weather shut down a large portion of the eastern United States.","For example, during parts of January 2014, severe winter weather shut down a large portion of the eastern U.S. Natural catastrophes such as hurricanes in east Texas (Hurricane Harvey) and in Florida (Hurricane Irma), each in 2017, wildfires in California in 2017 and 2018 and in Colorado in 2012 and flooding in Arkansas in 2019, had similar effects on a more local basis.",0
"This reliance exposes us to the risk of inadequate and untimely supplies of various products due to political, economic, social, or environmental conditions, transportation delays, or changes in laws and regulations affecting distribution.","This reliance exposes us to the risk of inadequate and untimely supplies of various products due to political, economic, social, health (including, but not limited to, the recent COVID-19 coronavirus outbreak originating in China), or environmental conditions, transportation delays, or changes in laws and regulations affecting distribution.",0
"If search results do not feature our websites prominently, traffic to our websites would decrease and our business could be adversely affected.","If Internet search engines do not prominently feature our websites on the search engine results page, traffic to our websites would decrease and our business could be adversely affected.",1
We have designed numerous procedures and protocols to mitigate cybersecurity risks.,"Our numerous procedures and protocols designed to mitigate cybersecurity risks (including processes to timely notify appropriate personnel for assessment and resolution and company-wide training programs), our investments in information technology security and our updates to our business continuity plan may not prevent or effectively mitigate adverse consequences from cybersecurity risks.",0
"Additionally, depending on the final terms of Brexit, certain financial services business may be forced to move staff and comply with two separate sets of rules or lose business to firms in Europe.","Additionally, depending on the final terms agreed with the EU during this transition period, certain financial services businesses may be forced to move staff and comply with two separate sets of rules, or lose business to firms in Europe.",1
"Separately, in January 2018 the Patent Trial and Appeal Board of United States Patent and Trademark Office denied a petition challenging our patent covering deuterated ruxolitinib analogs, although the challenging party retains the right to challenge the validity of the patent in federal court.","Separately, in January 2018 the Patent Trial and Appeal Board (PTAB) of United States Patent and Trademark Office denied a petition challenging our patent covering deuterated ruxolitinib analogs and the PTAB subsequently denied Concert’s Request for Rehearing in May 2018.",0
"This exclusive forum provision may limit the ability of our stockholders to bring a claim in a judicial forum that such stockholders find favorable for disputes with us or our directors or officers, which may discourage such lawsuits against us and our directors and officers.",This forum selection provision may limit our stockholders’ ability to obtain a favorable judicial forum for disputes with us.,0
"Economic conditions represent a greater potential for loss, and we may be required to increase our reserve for bad debt losses.",Adverse economic conditions may also require us to increase our reserve for bad debt losses.,0
"Senior management presents and communicates a periodic risk assessment to the Board of Directors which provides information on the risks management believes are material, including the earnings impact, timing, likelihood and controllability.","Senior management presents and communicates a periodic risk assessment to the Board of Directors, providing information on the risks that management believes are material, including financial impact, timing, likelihood and mitigating factors.",1
"Even if a claim is unsuccessful, is without merit or is not fully pursued, the negative publicity surrounding such assertions regarding our products, processes or business practices could adversely affect our reputation and brand image.","Even if a claim is unsuccessful, is without merit or is not fully pursued, the cost of responding to such a claim, including management time and out-of-pocket expenses, and the negative publicity surrounding such assertions regarding our products, processes or business practices could adversely affect our reputation, brand image and our business, results of operations, cash flows and financial condition.",0
Drought can also adversely affect us.,"Excess rainfall and drought have in the past, and may in the future adversely affect us.",0
The terms of any withdrawal and future relations between the E.U.,The terms of future relations between the U.K. and E.U.,1
The Substance Act requires certain entities resident in Bermuda to demonstrate that they have adequate economic substance in Bermuda.,"As noted above, the ES Act requires in-scope Bermuda entities to demonstrate that they have adequate economic substance in Bermuda.",1
Such an incident could also include alleged acts or omissions by or situations involving our suppliers (or their contractors or subcontractors).,"Such an incident could also include alleged acts or omissions by or situations involving our suppliers (or their contractors or subcontractors), the landlord for our stores, or our associates outside of work, and may pertain to social or political issues or protests largely unrelated to our business.",0
Health concerns arising from outbreaks of viruses or other diseases may have an adverse effect on our business.,"Health concerns arising from the outbreak of a health epidemic or pandemic, including the coronavirus, may have an adverse effect on our business.",0
